Time,Station,Temperature,Moisture,Light,Wind Direction,PM2.5,PM10,CO,NOx,SO2
31/08/2023 21:16:00,SVDT1,26.6,98.7,0,195,1.2,1.9,2,0,0
31/08/2023 21:15:00,SVDT1,26.6,98.7,0,273,1.7,4.2,2,0,0
31/08/2023 21:14:00,SVDT1,26.6,98.7,0,150,1.7,2.7,2,0,0
31/08/2023 21:13:00,SVDT1,26.6,98.7,0,50,1.2,3.1,2,0,0
31/08/2023 21:12:00,SVDT1,26.6,98.7,0,138,0.9,1.6,2,0,0
31/08/2023 21:11:00,SVDT1,26.6,98.7,0,118,0.7,0.7,2,0,0
31/08/2023 21:10:00,SVDT1,26.6,98.7,0,102,1.3,1.8,2,0,0
31/08/2023 21:09:00,SVDT1,26.5,98.7,0,79,1.5,3.2,2,0,0
31/08/2023 21:08:00,SVDT1,26.5,98.6,0,110,1.2,2.9,2,0,0
31/08/2023 21:07:00,SVDT1,26.5,98.7,0,104,1.7,10.1,2,0,0
31/08/2023 21:06:00,SVDT1,26.5,98.6,0,232,1.4,3,2,0,0
31/08/2023 21:05:00,SVDT1,26.5,98.6,0,71,1.9,3.7,2,0,0
31/08/2023 21:04:00,SVDT1,26.5,98.6,0,91,1.8,6.9,2,0,0
31/08/2023 21:03:00,SVDT1,26.5,98.6,0,122,1,4.2,2,0,0
31/08/2023 21:02:00,SVDT1,26.5,98.6,0,108,1.3,2.9,2,0,0
31/08/2023 21:01:00,SVDT1,26.5,98.6,0,109,1.2,2.2,2,0,0
31/08/2023 21:00:00,SVDT1,26.5,98.6,0,88,1.9,4.8,2,0,0
31/08/2023 20:59:00,SVDT1,26.5,98.5,0,101,1,1.4,2,0,0
31/08/2023 20:58:00,SVDT1,26.5,98.6,0,144,1.2,2.3,2,0,0
31/08/2023 20:57:00,SVDT1,26.5,98.6,0,78,1,1.1,2,0,0
31/08/2023 20:56:00,SVDT1,26.5,98.5,0,236,1,1.6,2,0,0
31/08/2023 20:55:00,SVDT1,26.5,98.6,0,226,0.7,1,2,0,0
31/08/2023 20:54:00,SVDT1,26.5,98.6,0,162,1.3,2.6,2,0,0
31/08/2023 20:53:00,SVDT1,26.5,98.6,0,136,1.3,8.1,2,0,0
31/08/2023 20:52:00,SVDT1,26.5,98.6,0,103,1.3,2.6,2,0,0
31/08/2023 20:51:00,SVDT1,26.5,98.6,0,147,1.7,4.2,2,0,0
31/08/2023 20:50:00,SVDT1,26.5,98.7,0,298,1,1.3,2,0,0
31/08/2023 20:49:00,SVDT1,26.5,98.7,0,218,1.2,1.7,2,0,0
31/08/2023 20:48:00,SVDT1,26.4,98.7,0,263,1.6,14.1,2,0,0
31/08/2023 20:47:00,SVDT1,26.4,98.7,0,191,1.1,2.5,2,0,0
31/08/2023 20:46:00,SVDT1,26.4,98.7,0,207,1.1,6.5,2,0,0
31/08/2023 20:45:00,SVDT1,26.4,98.7,0,53,1.6,6.2,2,0,0
31/08/2023 20:44:00,SVDT1,26.4,98.7,0,268,1.5,3.9,2,0,0
31/08/2023 20:43:00,SVDT1,26.4,98.7,0,257,1.4,3.5,2,0,0
31/08/2023 20:42:00,SVDT1,26.4,98.6,0,280,1.3,2,2,0,0
31/08/2023 20:41:00,SVDT1,26.4,98.6,0,244,1.2,1.7,2,0,0
31/08/2023 20:40:00,SVDT1,26.4,98.6,0,207,2.1,7.4,2,0,0
31/08/2023 20:39:00,SVDT1,26.4,98.6,0,102,1.8,7.1,2,0,0
31/08/2023 20:38:00,SVDT1,26.3,98.6,0,170,1.2,2.9,2,0,0
31/08/2023 20:37:00,SVDT1,26.3,98.6,0,198,1,1.3,2,0,0
31/08/2023 20:36:00,SVDT1,26.3,98.5,0,284,1.1,1.9,2,0,0
31/08/2023 20:35:00,SVDT1,26.3,98.5,0,174,1.2,3.3,2,0,0
31/08/2023 20:34:00,SVDT1,26.3,98.5,0,170,1,5.4,2,0,0
31/08/2023 20:33:00,SVDT1,26.3,98.5,0,147,0.9,1.1,2,0,0
31/08/2023 20:32:00,SVDT1,26.3,98.5,0,122,0.8,1.1,2,0,0
31/08/2023 20:31:00,SVDT1,26.3,98.4,0,140,1,2.6,2,0,0
